2025/06/23 02:25:43 [alert] 385#385: *5720 512 worker_connections are not enough while connecting to upstream, client: 34.176.222.201, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://34.176.222.201:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [crit] 423#423: *5787 connect() to [::1]:80 failed (99: Cannot assign requested address) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [warn] 423#423: *5787 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [crit] 423#423: *5792 connect() to [::1]:80 failed (99: Cannot assign requested address) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [warn] 423#423: *5792 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [crit] 424#424: *5795 connect() to [::1]:80 failed (99: Cannot assign requested address) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [warn] 424#424: *5795 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [crit] 423#423: *5798 connect() to [::1]:80 failed (99: Cannot assign requested address) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [warn] 423#423: *5798 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [crit] 424#424: *5801 connect() to [::1]:80 failed (99: Cannot assign requested address) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
2025/06/23 02:30:56 [warn] 424#424: *5801 upstream server temporarily disabled while connecting to upstream, client: 127.0.0.1, server: localhost, request: "HEAD / HTTP/1.1", upstream: "http://[::1]:80/", host: "proyectoadmin.mooo.com"
